seller,cheetah,leelee store,EYESHADOW PALETTE,poxo limited edition,850.0,80,images/2021-10-19_1634641565247.jpg
seller,cheetah,leelee store,MATTE LIP,Nars Matte Lip color,1100.0,25,images/2021-10-19_1634641606862.jpg
seller,cheetah,leelee store,MATCHA MEDITATIONn,maison repilca matcha meditation,5100.0,44,images/2021-10-19_1634641650941.jpg
seller,cheetah,leelee store,CLAY PALETTE,Tarte Clay palette,1700.0,53,images/2021-10-19_1634641698016.jpg
seller,cheetah,leelee store,SUNSCREEN SPF40,supergoop sunscreen spf40 pa++,1430.0,65,images/2021-10-19_1634641727859.jpg
seller,cheetah,leelee store,HAND WASH,OUAI hand wash,1260.0,58,images/2021-10-19_1634641779314.jpg
seller,cheetah,leelee store,COMPACT BLUSH,jill stuart compact blush,1470.0,39,images/2021-10-19_1634641809929.jpg
seller,cheetah,leelee store,PRIMROSE PALETTE,anstasia palette,2040.0,79,images/2021-10-19_1634641846851.jpg
seller,cheetah,leelee store,LIGHT BLUE EDP,Dolce & Gabana EDP,1200.0,20,images/2021-10-19_1634641894852.jpg
seller,cheetah,leelee store,BODY CREAM,fenty skin oil body cream,780.0,70,images/2021-10-19_1634642410607.jpg
seller,cheetah,leelee store,EYESHADOW PALETTE,Rare beauty eyeshadow,1200.0,20,images/2021-10-19_1634642444911.jpg
seller,cheetah,leelee store,HAND SANITIZER,maison hand sanitizer 21g.,500.0,27,images/2021-10-19_1634642482365.jpg
seller,piggybooboo,booboo123,HYDRATION FACIAL,fresh rose deep hydration,2500.0,40,images/2021-10-19_1634643090325.jpg
seller,piggybooboo,booboo123,LOQUID LUMINIZER,rare beauty light liquid luminizer,900.0,50,images/2021-10-19_1634643149722.jpg
seller,piggybooboo,booboo123,MELTING BLUSH,rare beauty melting blush,850.0,20,images/2021-10-19_1634643195852.jpg
seller,piggybooboo,booboo123,BVLGARI EDT,omnia Crystalline edt,4150.0,26,images/2021-10-19_1634643230427.jpg
seller,piggybooboo,booboo123,GIVENCHT SET,raedy to go set limited edition,2620.0,40,images/2021-10-19_1634643271360.jpg
seller,piggybooboo,booboo123,NARCISO RODRIGUEZ,foe her EDP,2400.0,40,images/2021-10-19_1634643312110.jpg
seller,piggybooboo,booboo123,CONCEALER,hourglass airbrush concealer,1450.0,44,images/2021-10-19_1634643355858.jpg
seller,piggybooboo,booboo123,LIGHTING BLUSH,hourglass anbient lighting blush,1650.0,33,images/2021-10-19_1634643385099.jpg
seller,piggybooboo,booboo123,ORANGE DEODORANT,taos aer deodorant,720.0,33,images/2021-10-19_1634643419467.jpg
seller,piggybooboo,booboo123,LIQUID BLUSH,rare beauty soft pink liquid blush,800.0,58,images/2021-10-19_1634643464055.jpg
seller,piggybooboo,booboo123,GUCCI EDT,Guilty pour femme edt 7.4ml,1600.0,43,images/2021-10-19_1634643514527.jpg
seller,piggybooboo,booboo123,MAISON EDT,repilca coffee break edt,5100.0,28,images/2021-10-19_1634643563357.jpg
